Scheme Name,Department / Authority,Category,Eligibility / Key Points,Benefits,Official Website / More Info
Kerala Farmers' Welfare Fund (KFWF),Kerala Government,State Scheme,Farmers owning 5 cents to 15 acres land and minimum 3 years farming experience and annual income below and 5 lakh,Pension benefits and welfare assistance and insurance coverage,https://kfwfb.kerala.gov.in,
Mission for Integrated Development of Horticulture (MIDH) - Kerala,State Horticulture Mission Kerala,Centrally Sponsored Scheme,Farmers growing fruits and vegetables and spices and flowers and cashew and coconut and bamboo,60% Central + 40% State funding Area expansion support and rejuvenation assistance and 20000/ha and water resource creation,https://shm.kerala.gov.in/scheme-details/,
Kerala Farm Fresh Fruits & Vegetables Base Price Scheme,Department of Agriculture Development and Farmers Welfare, Kerala,State Scheme,Farmers producing fresh fruits and vegetables and Base price guarantee for farm fresh produce,https://services.india.gov.in/service/detail/kerala-farm-fresh-fruits-and-vegetables-base-price-scheme-department-of-agriculture-development-and-farmers-welfare-kerala-1,
Coconut Development Scheme,Department of Agriculture Development and Farmers Welfare, Kerala,State Scheme,Coconut farmers in Kerala and 50% subsidy limited to and 25 per palm for bio fertilizer and bio pesticide and bio control agents,https://keralaagriculture.gov.in/wp-content/uploads/2024/07/4472-corrected.pdf,
Rice Development Programme,Department of Agriculture, Kerala,State Scheme,Paddy farmers and Upl and Paddy Samithies and Facilitation for seeds and critical inputs and registration support for paddy societies,https://keralaagriculture.gov.in/wp-content/uploads/2019/06/04272.pdf,
Scheme for Plantation Development (Rubber),Central Silk Board & Kerala Government,Central Scheme,Rubber plantation farmers,Accelerated new planting and replanting support on scientific lines,https://www.myscheme.gov.in/schemes/spdmtfptantner,
Mulberry Plantation Development,Central Silk Board & Kerala Government,Central Scheme,Sericulture farmers,14000 per acre for plantation development and 50% subsidy from GoI and 25% state and 25% beneficiary,https://silks.csb.gov.in/wayanad/schemes-grants-for-farmers/,
FPO Promotion Scheme Kerala,Small Farmers Agribusiness Consortium Kerala,State Scheme,Farmer Producer Organizations,Support to create 50 new FPOs and strengthen 50 existing FPOs in Kerala,https://www.sfackerala.org/service-category/schemes/,
Value Addition Support Scheme,Small Farmers Agribusiness Consortium Kerala,State Scheme,Micro and Small and Medium Agro-processing units,Assistance for primary processing and value addition in agriculture sector,https://www.sfackerala.org/service-category/schemes/,
Dairy Entrepreneur Development Scheme (DEDS),Kerala Land Development Bank,Central Scheme,Dairy farmers and entrepreneurs,Financial assistance and subsidies for dairy ventures,https://keralalandbank.in/non-farm-sector-loans/,
